feature,importance
MonthlyIncome,0.16131135192486568
Age,0.12859283448649828
TotalWorkingYears,0.11580695711141356
YearsAtCompany,0.08733255749759997
NumCompaniesWorked,0.0700078851712589
OverTime_Yes,0.06725377354140503
EnvironmentSatisfaction,0.05775607041884725
WorkLifeBalance,0.0478387339280283
JobInvolvement,0.04762876016236711
JobSatisfaction,0.04450124611098699
YearsSinceLastPromotion,0.043327408414039884
Education,0.04150682537183006
BusinessTravel_Travel_Frequently,0.024568640345702178
Department_Sales,0.017685950685209055
Gender_Male,0.016742441676866303
Department_Research & Development,0.016084371403311242
BusinessTravel_Travel_Rarely,0.012054191749770276
